Year,Location,2011,2012,2013,2014,2015,2016,2017
2017,United States,43.67,39.12,37.44,6.64,-9.21,14.36,78.52
2017,Alabama,16.25,15,4,-3.35,-52,7,126
2017,Alaska,68.73,106,110,-74.27,-165,168,236
2017,Arizona,56.1,45,51,-7.55,-10,-11,175
2017,Arkansas,26.19,36,33,29.55,34,18,53
2017,California,N\/A,N\/A,N\/A,N\/A,N\/A,N\/A,N\/A
2017,Colorado,36.65,35,40,25.86,-43,-1,43
2017,Connecticut,64.94,51,46,32.98,22,-13,59
2017,Delaware,85.38,66,60,28.11,-70,-23,42
2017,District of Columbia,-23.04,7,10,5.39,3,-56,-66
2017,Florida,45.6,48,45,32.4,34,69,76
2017,Georgia,44.21,40,22,9.81,-3,-24,65
2017,Hawaii,28.59,16,20,-17.26,-85,-78,14
2017,Idaho,31.4,33,44,-27.24,-75,-14,59
2017,Illinois,53.05,50,48,-23.89,-46,-8,109
2017,Indiana,41.6,43,53,50.05,17,36,64
2017,Iowa,26.1,25,37,8.16,-2,16,64
2017,Kansas,43.07,43,38,-28.36,-38,-11,42
2017,Kentucky,60.55,65,61,-26.66,37,19,66
2017,Louisiana,54.85,51,55,15.99,0,45,122
2017,Maine,39.66,29,33,26.01,-8,-9,71
2017,Maryland,37.4,36,34,0.97,-13,1,12
2017,Massachusetts,-13.39,2,0,14.32,19,-17,31
2017,Michigan,35.01,29,21,42.59,59,44,67
2017,Minnesota,37.63,20,24,-44.06,-92,-45,142
2017,Mississippi,54.23,49,54,48.08,52,42,92
2017,Missouri,45.04,41,43,11.71,22,48,126
2017,Montana,41.41,31,59,-60.9,-89,-21,123
2017,Nebraska,29.21,28,23,-9.68,-27,-18,76
2017,Nevada,47.52,45,41,20.95,21,29,54
2017,New Hampshire,90.38,101,107,96.91,65,25,91
2017,New Jersey,48.1,52,41,53.11,37,39,75
2017,New Mexico,23.72,16,9,-10.14,-19,-9,64
2017,New York,39.6,22,14,14.46,11,-1,11
2017,North Carolina,46.66,38,36,-3.89,-10,73,181
2017,North Dakota,22,17,23,32.04,44,27,24
2017,Ohio,41.61,31,47,17.6,13,28,62
2017,Oklahoma,59.07,57,44,-10.25,-66,5,174
2017,Oregon,29.32,33,18,-53.15,-75,-19,31
2017,Pennsylvania,30.03,14,9,-8.45,-47,-7,111
2017,Rhode Island,40.53,0,1,32.91,48,72,35
2017,South Carolina,68.8,58,56,33.15,16,26,78
2017,South Dakota,35.96,9,22,-14.83,-61,6,68
2017,Tennessee,42.5,50,41,-14.63,-35,2,126
2017,Texas,69.96,56,50,-18.66,-42,-8,70
2017,Utah,30.02,33,31,-31.72,-79,-43,-9
2017,Vermont,46.61,18,21,-12.79,22,19,73
2017,Virginia,48.11,44,42,26.11,18,26,38
2017,Washington,34.89,45,57,30.43,19,10,38
2017,West Virginia,73.72,46,31,20.64,-92,-38,118
2017,Wisconsin,37.49,34,39,-21.16,-31,-3,36
2017,Wyoming,67.95,82,80,2.81,1,-12,2
